date,sector,sentiment,coverage,headline_count,lagged_sentiment,sentiment_0_100
2020-01-03,Comm,0.05423,0.4,3,0.0,52.7115
2020-01-06,Comm,0.10428583333333333,0.6,16,0.05423,55.21429166666667
2020-01-07,Comm,0.17558,0.6,5,0.10428583333333333,58.779
2020-01-08,Comm,0.154382,0.8,20,0.17558,57.7191
2020-01-09,Comm,0.16018,1.0,6,0.154382,58.009
2020-01-10,Comm,0.028676666666666684,0.8,8,0.16018,51.43383333333333
2020-01-13,Comm,0.0006191666666666678,0.4,14,0.028676666666666684,50.03095833333333
2020-01-14,Comm,0.03452,0.4,4,0.0006191666666666678,51.726000000000006
2020-01-15,Comm,0.0004183333333333289,0.6,9,0.03452,50.02091666666667
2020-01-16,Comm,0.11389,0.8,17,0.0004183333333333289,55.694500000000005
2020-01-17,Comm,0.038040000000000004,0.6,8,0.11389,51.902
2020-01-21,Comm,-0.022039999999999997,0.8,19,0.038040000000000004,48.898
2020-01-22,Comm,0.10965,0.6,4,-0.022039999999999997,55.4825
2020-01-23,Comm,0.17530257142857142,1.0,22,0.10965,58.76512857142857
2020-01-24,Comm,0.11109024242424241,0.8,24,0.17530257142857142,55.55451212121212
2020-01-27,Comm,-0.03633272727272728,0.8,20,0.11109024242424241,48.18336363636364
2020-01-28,Comm,0.036708000000000005,0.8,15,-0.03633272727272728,51.8354
2020-01-29,Comm,0.25270099999999995,0.8,11,0.036708000000000005,62.63505000000001
2020-01-30,Comm,-0.010649999999999998,0.8,18,0.25270099999999995,49.4675
2020-01-31,Comm,-0.18866727272727274,0.8,15,-0.010649999999999998,40.56663636363636
2020-02-03,Comm,0.1309225,1.0,21,-0.18866727272727274,56.546125
2020-02-04,Comm,0.11257900000000001,1.0,17,0.1309225,55.628949999999996
2020-02-05,Comm,-0.006538333333333329,0.8,12,0.11257900000000001,49.67308333333334
2020-02-06,Comm,0.06914000000000001,1.0,19,-0.006538333333333329,53.457
2020-02-07,Comm,0.03277599999999999,0.8,13,0.06914000000000001,51.638799999999996
2020-02-10,Comm,0.0914,0.8,20,0.03277599999999999,54.56999999999999
2020-02-11,Comm,-0.026111294117647045,0.8,24,0.0914,48.694435294117646
2020-02-12,Comm,0.15365222222222222,1.0,18,-0.026111294117647045,57.682611111111115
2020-02-13,Comm,0.09172261904761905,1.0,20,0.15365222222222222,54.58613095238095
2020-02-14,Comm,0.12498000000000001,0.2,1,0.09172261904761905,56.249
2020-02-18,Comm,0.04021809523809524,1.0,23,0.12498000000000001,52.01090476190476
2020-02-19,Comm,0.07368166666666666,0.4,7,0.04021809523809524,53.684083333333334
2020-02-20,Comm,0.038785,0.6,15,0.07368166666666666,51.93925
2020-02-21,Comm,-0.03978333333333334,0.6,7,0.038785,48.01083333333334
2020-02-24,Comm,0.028283333333333334,0.6,10,-0.03978333333333334,51.414166666666674
2020-02-25,Comm,0.12050666666666668,0.6,5,0.028283333333333334,56.025333333333336
2020-02-26,Comm,0.12558666666666668,0.8,10,0.12050666666666668,56.279333333333334
2020-02-27,Comm,0.13194,0.8,8,0.12558666666666668,56.596999999999994
2020-02-28,Comm,-0.09630999999999999,1.0,17,0.13194,45.1845
2020-03-02,Comm,0.09726666666666667,0.8,17,-0.09630999999999999,54.86333333333333
2020-03-03,Comm,0.040232,0.8,11,0.09726666666666667,52.0116
2020-03-04,Comm,0.10109666666666665,0.8,7,0.040232,55.05483333333333
