date,ticker,sector,sentiment,headline_count
2020-01-02,EA,Comm,0.0,3
2020-01-02,T,Comm,0.2768,5
2020-01-02,TMUS,Comm,0.1591,2
2020-01-02,TTWO,Comm,0.0,1
2020-01-02,DIS,Consumer,0.05871428571428572,7
2020-01-02,KO,Consumer,-0.0702,4
2020-01-02,NKE,Consumer,-0.105375,4
2020-01-02,SBUX,Consumer,-0.26776666666666665,3
2020-01-02,WMT,Consumer,0.039900000000000005,4
2020-01-02,COP,Energy,0.2732,1
2020-01-02,CVX,Energy,0.1366,2
2020-01-02,OXY,Energy,0.3428333333333333,6
2020-01-02,SLB,Energy,0.0683,4
2020-01-02,XOM,Energy,0.141375,8
2020-01-02,GS,Financials,0.0,1
2020-01-02,MS,Financials,0.0,1
2020-01-02,USB,Financials,0.0,2
2020-01-02,V,Financials,0.3862666666666667,3
2020-01-02,WFC,Financials,0.14966,5
2020-01-02,ABBV,Healthcare,0.1468,3
2020-01-02,ABT,Healthcare,0.3243,4
2020-01-02,AMGN,Healthcare,0.17748571428571427,7
2020-01-02,GILD,Healthcare,0.11333333333333334,3
2020-01-02,MRK,Healthcare,0.31553333333333333,6
2020-01-02,BA,Industrials,0.059199999999999996,5
2020-01-02,CAT,Industrials,0.3612,1
2020-01-02,GE,Industrials,0.0,4
2020-01-02,MMM,Industrials,0.0,2
2020-01-02,UPS,Industrials,0.0,1
2020-01-02,DD,Materials,0.2628,2
2020-01-02,DOW,Materials,0.0,3
2020-01-02,NEM,Materials,0.28595,2
2020-01-02,AMT,RealEstate,0.03620000000000001,2
2020-01-02,O,RealEstate,0.0,1
2020-01-02,AMD,Tech,0.17636153846153846,13
2020-01-02,INTC,Tech,0.20246,5
2020-01-02,NVDA,Tech,0.0,1
2020-01-02,QCOM,Tech,-0.07086666666666668,6
2020-01-02,NEE,Utilities,0.6369,1
2020-01-03,CMCSA,Comm,0.0,1
2020-01-03,T,Comm,0.27115,2
2020-01-03,DIS,Consumer,0.0,4
2020-01-03,KO,Consumer,-0.7906,1
2020-01-03,NKE,Consumer,-0.148,2
2020-01-03,WMT,Consumer,0.06743333333333333,3
2020-01-03,COP,Energy,-0.23870000000000002,2
2020-01-03,CVX,Energy,-0.055175,4
2020-01-03,OXY,Energy,-0.19426000000000002,5
2020-01-03,SLB,Energy,0.10085,6
2020-01-03,XOM,Energy,0.15633636363636363,11
2020-01-03,MS,Financials,0.3548,2
2020-01-03,V,Financials,-0.102525,4
2020-01-03,WFC,Financials,0.0,2
2020-01-03,GILD,Healthcare,0.198575,4
2020-01-03,MRK,Healthcare,0.2202,2
2020-01-03,BA,Industrials,-0.3182,1
2020-01-03,CAT,Industrials,-0.18455,2
2020-01-03,GE,Industrials,0.10774999999999998,2
2020-01-03,MMM,Industrials,-0.2294,2
2020-01-03,NEM,Materials,-0.5233,2
2020-01-03,NUE,Materials,0.3818,1
2020-01-03,AMT,RealEstate,-0.16990000000000002,3
2020-01-03,CCI,RealEstate,-0.3182,1
2020-01-03,PSA,RealEstate,0.296,1
2020-01-03,AMD,Tech,0.1907125,8
2020-01-03,INTC,Tech,0.20162857142857143,7
2020-01-03,NVDA,Tech,0.0,1
2020-01-03,QCOM,Tech,0.0,1
2020-01-03,DUK,Utilities,0.0,1
2020-01-03,NEE,Utilities,0.2817,3
2020-01-06,CMCSA,Comm,0.09106249999999999,8
2020-01-06,EA,Comm,0.1909,2
2020-01-06,T,Comm,0.2394666666666667,6
2020-01-06,DIS,Consumer,0.084775,16
2020-01-06,KO,Consumer,0.2263,4
2020-01-06,NKE,Consumer,0.020233333333333325,3
2020-01-06,SBUX,Consumer,0.13935,4
2020-01-06,WMT,Consumer,0.06328823529411765,17
2020-01-06,COP,Energy,0.09106666666666667,3
2020-01-06,CVX,Energy,0.0876,4
2020-01-06,OXY,Energy,0.06608181818181817,11
2020-01-06,SLB,Energy,0.0662,8
2020-01-06,XOM,Energy,0.11624999999999999,8
2020-01-06,GS,Financials,0.4588,1
2020-01-06,MS,Financials,0.5081,2
2020-01-06,USB,Financials,0.002379999999999999,5
2020-01-06,V,Financials,0.2053,2
2020-01-06,WFC,Financials,0.24695,2
2020-01-06,ABBV,Healthcare,0.10115,2
2020-01-06,ABT,Healthcare,0.4939,1
2020-01-06,AMGN,Healthcare,0.3481,2
2020-01-06,GILD,Healthcare,0.58365,2
2020-01-06,MRK,Healthcare,0.1091,5
2020-01-06,BA,Industrials,0.07211111111111111,9
2020-01-06,CAT,Industrials,0.0,1
2020-01-06,GE,Industrials,0.148475,4
2020-01-06,DD,Materials,-0.4019,1
2020-01-06,DOW,Materials,0.0,2
2020-01-06,NEM,Materials,0.12283999999999999,5
2020-01-06,NUE,Materials,0.0,1
2020-01-06,CCI,RealEstate,0.0,1
2020-01-06,PLD,RealEstate,0.296,1
2020-01-06,PSA,RealEstate,0.148,2
2020-01-06,ADBE,Tech,-0.41925,2
2020-01-06,AMD,Tech,0.0667,6
2020-01-06,INTC,Tech,-0.031233333333333325,3
2020-01-06,NVDA,Tech,0.0,1
2020-01-06,QCOM,Tech,0.3182,1
2020-01-06,D,Utilities,0.0,2
2020-01-06,DUK,Utilities,0.0,1
2020-01-06,NEE,Utilities,0.31845,2
2020-01-06,SO,Utilities,-0.2732,1
2020-01-07,CMCSA,Comm,0.8779,1
2020-01-07,T,Comm,0.0,1
2020-01-07,TMUS,Comm,0.0,3
2020-01-07,DIS,Consumer,0.05778749999999999,8
2020-01-07,KO,Consumer,0.15794999999999998,4
2020-01-07,NKE,Consumer,0.3818,1
2020-01-07,SBUX,Consumer,0.050575,4
2020-01-07,WMT,Consumer,0.08808,5
2020-01-07,CVX,Energy,0.0,3
2020-01-07,OXY,Energy,0.03364999999999999,6
2020-01-07,XOM,Energy,0.2044,3
2020-01-07,GS,Financials,0.059199999999999996,5
2020-01-07,MS,Financials,0.4404,1
2020-01-07,V,Financials,0.0,1
2020-01-07,WFC,Financials,0.0625,4
2020-01-07,ABBV,Healthcare,0.36258,5
2020-01-07,ABT,Healthcare,0.3551666666666667,3
2020-01-07,AMGN,Healthcare,0.0,1
2020-01-07,GILD,Healthcare,0.0,1
2020-01-07,MRK,Healthcare,-0.17456,5
2020-01-07,BA,Industrials,0.058628571428571426,7
2020-01-07,CAT,Industrials,0.1643,4
2020-01-07,GE,Industrials,0.0,1
2020-01-07,UPS,Industrials,-0.1027,1
2020-01-07,DD,Materials,0.0,1
2020-01-07,NEM,Materials,0.0,1
2020-01-07,SHW,Materials,0.3818,1
2020-01-07,AMT,RealEstate,0.0,1
2020-01-07,O,RealEstate,0.0,1
2020-01-07,AMD,Tech,0.009425,8
2020-01-07,INTC,Tech,-0.032214285714285716,7
2020-01-07,NVDA,Tech,0.0,1
2020-01-07,QCOM,Tech,0.059199999999999996,5
2020-01-07,SO,Utilities,0.6369,1
2020-01-08,CMCSA,Comm,0.48755,4
2020-01-08,EA,Comm,0.148,2
2020-01-08,T,Comm,0.03286,10
2020-01-08,TMUS,Comm,0.10350000000000001,4
2020-01-08,DIS,Consumer,0.21910000000000002,7
2020-01-08,KO,Consumer,0.0,1
2020-01-08,SBUX,Consumer,0.05135,2
2020-01-08,WMT,Consumer,0.0166,6
2020-01-08,COP,Energy,-0.006374999999999992,4
2020-01-08,CVX,Energy,0.09106666666666667,3
2020-01-08,OXY,Energy,0.11828333333333334,6
2020-01-08,SLB,Energy,-0.43394999999999995,2
2020-01-08,XOM,Energy,0.1366,2
2020-01-08,GS,Financials,0.7845,1
2020-01-08,MS,Financials,0.39225,2
2020-01-08,V,Financials,0.2263,1
2020-01-08,ABBV,Healthcare,0.23786666666666667,3
2020-01-08,GILD,Healthcare,0.4939,1
2020-01-08,MRK,Healthcare,0.039688888888888885,9
2020-01-08,BA,Industrials,0.061028571428571425,7
2020-01-08,GE,Industrials,0.0,3
2020-01-08,MMM,Industrials,0.0,2
2020-01-08,DD,Materials,-0.43394999999999995,2
2020-01-08,NEM,Materials,0.23475,4
2020-01-08,AMT,RealEstate,0.17,2
2020-01-08,CCI,RealEstate,-0.3716,1
2020-01-08,ADBE,Tech,0.17,2
2020-01-08,AMD,Tech,0.16605999999999999,10
2020-01-08,INTC,Tech,0.013712500000000002,8
2020-01-08,QCOM,Tech,0.0,2
2020-01-08,AEP,Utilities,0.0,1
2020-01-08,D,Utilities,0.6369,1
2020-01-08,SO,Utilities,0.2023,1
2020-01-09,CMCSA,Comm,0.5049,2
2020-01-09,EA,Comm,0.0,1
2020-01-09,T,Comm,0.296,1
2020-01-09,TMUS,Comm,0.0,1
2020-01-09,TTWO,Comm,0.0,1
2020-01-09,DIS,Consumer,0.480725,4
2020-01-09,KO,Consumer,0.29205,2
2020-01-09,NKE,Consumer,0.3197666666666667,3
2020-01-09,SBUX,Consumer,0.21212857142857142,7
2020-01-09,WMT,Consumer,0.11261111111111112,9
2020-01-09,CVX,Energy,0.2732,1
2020-01-09,OXY,Energy,-0.18769999999999998,2
2020-01-09,SLB,Energy,0.10600000000000001,2
2020-01-09,XOM,Energy,0.22254000000000002,5
2020-01-09,GS,Financials,0.5574,1
2020-01-09,MS,Financials,-0.04762,5
2020-01-09,USB,Financials,0.0,1
2020-01-09,V,Financials,0.35746666666666665,3
2020-01-09,WFC,Financials,0.4404,1
2020-01-09,AMGN,Healthcare,0.0,1
2020-01-09,GILD,Healthcare,0.0,4
2020-01-09,MRK,Healthcare,0.47713333333333335,3
2020-01-09,BA,Industrials,0.0,2
2020-01-09,CAT,Industrials,0.0,1
2020-01-09,GE,Industrials,0.10115,2
2020-01-09,MMM,Industrials,0.06743333333333333,3
2020-01-09,UPS,Industrials,0.0,1
2020-01-09,DD,Materials,0.0,1
2020-01-09,DOW,Materials,0.0,2
2020-01-09,NEM,Materials,0.12726666666666667,3
2020-01-09,AMT,RealEstate,0.0,1
2020-01-09,ADBE,Tech,0.0,2
2020-01-09,AMD,Tech,0.21905,6
2020-01-09,INTC,Tech,0.13999999999999999,5
2020-01-09,NVDA,Tech,0.0,1
2020-01-09,QCOM,Tech,0.09866666666666667,3
2020-01-09,AEP,Utilities,0.296,1
2020-01-09,D,Utilities,0.0,2
2020-01-09,NEE,Utilities,0.0,1
2020-01-09,SO,Utilities,0.0,1
2020-01-10,CMCSA,Comm,-0.5423,1
2020-01-10,EA,Comm,0.0,2
2020-01-10,T,Comm,0.31473333333333336,3
2020-01-10,TMUS,Comm,0.37095,2
2020-01-10,DIS,Consumer,0.07625,4
2020-01-10,KO,Consumer,0.07485,4
2020-01-10,NKE,Consumer,0.0,1
2020-01-10,SBUX,Consumer,0.0,1
2020-01-10,WMT,Consumer,-0.13038,5
2020-01-10,COP,Energy,0.1836,2
2020-01-10,CVX,Energy,0.11945,2
2020-01-10,OXY,Energy,-0.28049999999999997,2
2020-01-10,SLB,Energy,0.0918,4
2020-01-10,XOM,Energy,0.25546,5
2020-01-10,MS,Financials,0.405,2
2020-01-10,USB,Financials,0.0,1
2020-01-10,WFC,Financials,0.253075,4
2020-01-10,ABBV,Healthcare,0.027899999999999998,3
2020-01-10,ABT,Healthcare,0.4939,1
2020-01-10,AMGN,Healthcare,0.32926666666666665,3
2020-01-10,GILD,Healthcare,-0.10606666666666666,3
2020-01-10,MRK,Healthcare,0.4939,2
2020-01-10,BA,Industrials,0.09104999999999999,4
2020-01-10,CAT,Industrials,0.0386,2
2020-01-10,GE,Industrials,0.148,2
2020-01-10,DD,Materials,-0.2023,1
2020-01-10,DOW,Materials,0.0,1
2020-01-10,NEM,Materials,-0.2263,1
2020-01-10,NUE,Materials,0.0,1
2020-01-10,AMT,RealEstate,-0.3612,1
2020-01-10,CCI,RealEstate,0.0772,1
2020-01-10,O,RealEstate,-0.1366,2
2020-01-10,PLD,RealEstate,0.0,1
2020-01-10,PSA,RealEstate,0.0,1
2020-01-10,ADBE,Tech,0.148,4
2020-01-10,AMD,Tech,0.45416666666666666,6
2020-01-10,INTC,Tech,0.42878,5
2020-01-10,NVDA,Tech,0.19651666666666667,6
2020-01-10,D,Utilities,-0.09866666666666667,3
2020-01-10,DUK,Utilities,0.3353,1
2020-01-10,NEE,Utilities,0.38785000000000003,2
2020-01-10,SO,Utilities,0.0,1
2020-01-13,CMCSA,Comm,0.0766125,8
2020-01-13,T,Comm,-0.07351666666666666,6
2020-01-13,DIS,Consumer,0.04097142857142857,14
2020-01-13,KO,Consumer,0.26335,2
2020-01-13,NKE,Consumer,-0.153325,4
2020-01-13,SBUX,Consumer,0.16945,4
2020-01-13,WMT,Consumer,0.12498000000000001,5
2020-01-13,COP,Energy,0.2732,1
2020-01-13,CVX,Energy,0.0,1
2020-01-13,OXY,Energy,0.0909375,8
2020-01-13,SLB,Energy,-0.0738,4
2020-01-13,XOM,Energy,0.38238,5
2020-01-13,GS,Financials,0.1458,4
2020-01-13,MS,Financials,0.22505714285714284,7
2020-01-13,USB,Financials,0.12115,4
2020-01-13,V,Financials,0.3249,4
2020-01-13,WFC,Financials,0.16404285714285716,14
2020-01-13,ABBV,Healthcare,0.31245,4
2020-01-13,ABT,Healthcare,0.25905,4
2020-01-13,AMGN,Healthcare,-0.060749999999999985,4
2020-01-13,GILD,Healthcare,0.10423750000000001,8
2020-01-13,MRK,Healthcare,0.054300000000000015,4
2020-01-13,BA,Industrials,0.15958333333333333,6
2020-01-13,CAT,Industrials,0.0,1
2020-01-13,GE,Industrials,0.1366,2
2020-01-13,MMM,Industrials,0.0,1
2020-01-13,DOW,Materials,0.6597,1
2020-01-13,NEM,Materials,0.0,3
2020-01-13,AMT,RealEstate,0.2394666666666667,3
2020-01-13,ADBE,Tech,0.3179,3
2020-01-13,AMD,Tech,0.3214125,8
2020-01-13,INTC,Tech,0.16695625,16
2020-01-13,NVDA,Tech,0.19831000000000001,10
2020-01-13,QCOM,Tech,0.0,2
2020-01-13,D,Utilities,0.0,1
2020-01-13,DUK,Utilities,0.0,1
2020-01-13,NEE,Utilities,0.026399999999999996,3
2020-01-13,SO,Utilities,0.0,1
2020-01-14,EA,Comm,0.1468,3
2020-01-14,T,Comm,0.0258,1
2020-01-14,DIS,Consumer,0.21455000000000002,12
2020-01-14,KO,Consumer,0.0,1
2020-01-14,NKE,Consumer,0.0,2
2020-01-14,SBUX,Consumer,0.0,2
2020-01-14,WMT,Consumer,0.0,2
2020-01-14,COP,Energy,0.326525,4
2020-01-14,CVX,Energy,0.32785,4
2020-01-14,OXY,Energy,0.27076666666666666,3
2020-01-14,SLB,Energy,0.028683333333333335,6
2020-01-14,XOM,Energy,0.11526666666666667,6
2020-01-14,GS,Financials,0.0,1
2020-01-14,MS,Financials,-0.11463333333333332,6
2020-01-14,USB,Financials,0.07326666666666667,6
2020-01-14,V,Financials,0.105375,4
2020-01-14,WFC,Financials,0.11381904761904763,21
2020-01-14,ABBV,Healthcare,0.0,3
2020-01-14,AMGN,Healthcare,0.4077,3
2020-01-14,GILD,Healthcare,0.5267,1
2020-01-14,MRK,Healthcare,0.3601,2
2020-01-14,BA,Industrials,0.050575,4
2020-01-14,GE,Industrials,0.21983999999999998,5
2020-01-14,UPS,Industrials,0.1779,1
2020-01-14,DD,Materials,-0.064,2
2020-01-14,NEM,Materials,0.148,2
2020-01-14,AMT,RealEstate,0.148,2
2020-01-14,AMD,Tech,0.14192,5
2020-01-14,INTC,Tech,0.32744,5
2020-01-14,QCOM,Tech,0.2202,2
2020-01-14,D,Utilities,0.29675,2
2020-01-14,NEE,Utilities,0.3612,1
2020-01-14,SO,Utilities,0.2202,2
2020-01-15,CMCSA,Comm,0.10606666666666666,3
2020-01-15,EA,Comm,0.08895,2
2020-01-15,T,Comm,-0.192925,4
2020-01-15,DIS,Consumer,0.14184,15
2020-01-15,KO,Consumer,0.148,2
2020-01-15,SBUX,Consumer,0.19063333333333332,3
2020-01-15,WMT,Consumer,-0.003171428571428571,7
2020-01-15,COP,Energy,0.0,2
2020-01-15,CVX,Energy,0.1897333333333333,3
2020-01-15,OXY,Energy,0.3715,2
2020-01-15,SLB,Energy,-0.19125,4
2020-01-15,XOM,Energy,0.06004999999999999,2
2020-01-15,GS,Financials,0.10643333333333334,6
2020-01-15,MS,Financials,0.01935,2
2020-01-15,USB,Financials,0.04531428571428572,14
2020-01-15,V,Financials,0.04046,5
2020-01-15,WFC,Financials,0.09292222222222223,9
2020-01-15,ABBV,Healthcare,0.2496,4
2020-01-15,GILD,Healthcare,0.044475,4
2020-01-15,MRK,Healthcare,0.395725,4
2020-01-15,BA,Industrials,-0.22407499999999997,4
2020-01-15,CAT,Industrials,0.01935,2
2020-01-15,GE,Industrials,-0.26335,2
2020-01-15,UPS,Industrials,0.10115,2
2020-01-15,DD,Materials,0.3459666666666667,3
2020-01-15,SHW,Materials,0.0,1
2020-01-15,AMT,RealEstate,0.0,3
2020-01-15,O,RealEstate,0.050575,4
2020-01-15,ADBE,Tech,0.0,1
2020-01-15,AMD,Tech,0.0625,4
2020-01-15,INTC,Tech,0.05000833333333334,12
2020-01-15,NVDA,Tech,0.057749999999999996,2
2020-01-15,QCOM,Tech,-0.07793999999999998,5
2020-01-15,D,Utilities,0.10115,2
2020-01-15,DUK,Utilities,0.2732,1
2020-01-15,NEE,Utilities,0.08850000000000001,6
2020-01-15,SO,Utilities,0.0,1
2020-01-16,CMCSA,Comm,0.30515,6
2020-01-16,EA,Comm,0.159,4
2020-01-16,T,Comm,0.10529999999999999,6
2020-01-16,TTWO,Comm,0.0,1
2020-01-16,DIS,Consumer,0.19252,10
2020-01-16,KO,Consumer,0.6369,1
2020-01-16,SBUX,Consumer,0.0,1
2020-01-16,WMT,Consumer,0.056657142857142864,7
2020-01-16,OXY,Energy,0.2227714285714286,7
2020-01-16,SLB,Energy,0.1531,1
2020-01-16,XOM,Energy,0.13840000000000002,5
2020-01-16,GS,Financials,0.008700000000000005,3
2020-01-16,MS,Financials,0.14926923076923077,26
2020-01-16,USB,Financials,0.12532000000000001,5
2020-01-16,V,Financials,0.07180000000000002,3
2020-01-16,WFC,Financials,0.3620555555555556,9
2020-01-16,ABBV,Healthcare,0.29857500000000003,4
2020-01-16,AMGN,Healthcare,0.0,1
2020-01-16,GILD,Healthcare,0.0,1
2020-01-16,MRK,Healthcare,0.20215,2
2020-01-16,BA,Industrials,0.13093333333333332,3
2020-01-16,GE,Industrials,0.4404,1
2020-01-16,DD,Materials,0.0,1
2020-01-16,DOW,Materials,0.4404,1
2020-01-16,NEM,Materials,0.0,1
2020-01-16,SHW,Materials,0.0,1
2020-01-16,AMT,RealEstate,0.3612,1
2020-01-16,CCI,RealEstate,0.3818,1
2020-01-16,PLD,RealEstate,0.0,1
2020-01-16,ADBE,Tech,0.125,2
2020-01-16,AMD,Tech,0.16210000000000002,6
